"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"1","1 1",0.153094462540717,0.22554347826087,307,368,1495.59377409286,1979.13579821758,41347,31987,0.4898371015646,0.0179305152041206,665
"2","1 2",0.129310344827586,0.178519593613933,348,689,2219.60740370087,1956.12572819902,65587,26243,0.635401189475719,0.0388984320437765,979
"3","1 3",0.0950819672131148,0.159806295399516,305,413,2102.59406823535,2031.27404744497,41963,61608,0.658711137604228,0.0340689307330087,674
"4","1 4",0.136986301369863,0.170426065162907,292,399,1911.57407762744,1821.57857904872,30969,44313,0.631016437285445,0.0244330009426799,748
"5","1 5",0.0825082508250825,0.17479674796748,303,492,2590.81958109302,2217.32009016723,109046,86907,0.649553545636547,0.0765009418875372,652
"6","1 6",0.268518518518519,0.27906976744186,216,301,1205.92296943497,1451.58569552454,22735,22321,0.712312755504979,0.00531953751278335,228
"7","1 7",0.183510638297872,0.233716475095785,376,522,1638.75891836452,1492.50162033218,60546,96201,0.581280788683675,0.0276823819201783,858
"8","1 8",0.108433734939759,0.174377224199288,249,281,2771.42346548911,2817.05653720837,9118,3990,0.526506405936798,0.274124600920287,287
"9","1 9",0.15929203539823,0.202061855670103,339,485,1609.11929509211,1194.97158301229,79113,42315,0.573915904041115,0.0191829019652504,655
"10","1 10",0.140515222482436,0.233644859813084,427,535,2612.91452101833,2593.78877127882,69738,49323,0.675688074281232,0.0726955295676217,893
"11","1 11",0.122362869198312,0.169270833333333,237,384,1203.7784644979,1255.21647031608,51438,47181,0.446872036276406,0.0158782530260747,762
"12","1 12",0.0793650793650794,0.170542635658915,378,516,1846.907771522,1703.22139030741,52029,35694,0.440391987822644,0.0515062355524295,802
"13","1 13",0.0504201680672269,0.0976430976430976,238,297,1820.17178617705,2936.44084161897,15395,14172,0.0605305450857696,0.105191216885979,722
"14","1 14",0.0526315789473684,0.114942528735632,228,348,2079.28623919972,2951.77627932747,26394,21693,0.122689622546374,0.268701498789667,936
