"","ward_pre","obama_sen_primary_pct","keyes_pct","bush2004_pct","obama_pres_primary_pct","mccain_pct","votes_cast_2004_sen_dem_primary","votes_cast_2004_senate","votes_cast_2004_president","votes_cast_2008_president_dem_primary","votes_cast_2008_president","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"6","1 6",0.452380952380952,0.147342995169082,0.282352941176471,0.584615384615385,0.24025974025974,126,414,425,260,462,1242.89515010738,1508.56324189359,28782,38808,0.683804590588184,0.00755801854405708,428
"9","1 9",0.476190476190476,0.0873015873015873,0.149214659685864,0.605769230769231,0.119700748129676,168,378,382,208,401,3938.34449858184,4187.83534247554,22948,18390,0.437133160086806,0.0328587335082378,433
"12","1 12",0.628571428571429,0.0996376811594203,0.20855614973262,0.748175182481752,0.166912850812408,140,552,561,274,677,2860.9802529539,3108.1981981732,57181,32850,0.676781739946561,0.0369772141141672,483
"13","1 13",0.450867052023121,0.086864406779661,0.206680584551148,0.605633802816901,0.0888888888888889,173,472,479,284,585,3408.62645271951,4369.93848739914,66855,88467,0.253419572470111,0.0220121908055704,514
"15","1 15",0.471153846153846,0.0636363636363636,0.117302052785924,0.55609756097561,0.0712328767123288,104,330,341,205,365,1482.24217251252,2352.48628951428,19998,12478,0.18095779226123,0.0612645589029352,556
"16","1 16",0.592920353982301,0.0458333333333333,0.0807692307692308,0.742424242424242,0.0643564356435644,113,240,260,132,202,4774.05042573123,4038.27992227053,8995,1183,0.0805551724687216,0.608684120959335,372
"18","1 18",0.619047619047619,0.0588235294117647,0.0785340314136126,0.683168316831683,0.0725274725274725,126,374,382,202,455,1498.57097387553,2547.17783900787,24615,16327,0.16478407855184,0.142113632152855,454
"20","1 20",0.488505747126437,0.121134020618557,0.237410071942446,0.490421455938697,0.130879345603272,174,388,417,261,489,3583.64500627311,3999.82933131765,24737,14014,0.203142252887062,0.0325910435542209,1071
"24","1 24",0.596899224806202,0.0811287477954145,0.145132743362832,0.633522727272727,0.0981996726677578,258,567,565,352,611,4217.26498434311,4371.74297277805,62196,26609,0.467210714708092,0.0147498523083065,738
"29","1 29",0.492957746478873,0.114077669902913,0.23696682464455,0.65,0.140900195694716,142,412,422,220,511,3138.44622100995,3760.31872813713,33194,46258,0.371163848647823,0.0250452651997485,492
"30","1 30",0.515695067264574,0.0895008605851979,0.157627118644068,0.577777777777778,0.114630467571644,223,581,590,360,663,3796.36706080761,4486.74918640706,52016,58368,0.304009264032387,0.033820910074902,664
"31","1 31",0.669902912621359,0.0962837837837838,0.30820770519263,0.771428571428571,0.208672086720867,103,592,597,245,738,3157.6884369393,3503.24328780721,122918,42406,0.765704159014378,0.0192455145032132,358
"32","1 32",0.383458646616541,0.0701754385964912,0.155717761557178,0.599206349206349,0.131958762886598,133,399,411,252,485,2537.04828537621,2938.12971622166,35654,16152,0.277623636683587,0.0632584499389157,571
"34","1 34",0.56989247311828,0.107033639143731,0.197014925373134,0.754716981132076,0.109919571045576,93,327,335,159,373,3107.49611814562,4007.60103765999,15120,11455,0.304701127398124,0.0115398564591555,304
"35","1 35",0.520547945205479,0.119444444444444,0.291553133514986,0.764044943820225,0.182902584493042,73,360,367,178,503,2682.51780280936,2076.27899090421,21948,5392,0.678611686171366,0.0111569170981871,253
"51","2 1",0.714285714285714,0.138528138528139,0.274170274170274,0.762666666666667,0.170385395537525,238,693,693,375,986,2331.47756625982,1921.6057719935,46856,26968,0.74018427290713,0.173539231788,606
"52","2 2",0.833333333333333,0.0769230769230769,0.149193548387097,0.825,0.0883720930232558,78,247,248,80,215,706.504304808299,1059.27314549664,46704,149725,0.187924287047652,0.582596212663405,289
"56","2 6",0.621848739495798,0.149038461538462,0.363779527559055,0.787535410764873,0.233707865168539,119,624,635,353,890,1853.09403303944,1172.02432579689,119751,83644,0.87276578016893,0.0868504191254521,231
"57","2 7",0.921641791044776,0.0196506550218341,0.0305676855895196,0.93371757925072,0.00763358778625954,268,458,458,347,524,628.662802133421,3111.47065939531,1662,540,0.0435868113682664,0.932151143633236,527
"58","2 8",0.722222222222222,0.132142857142857,0.25354609929078,0.716577540106952,0.176211453744493,252,560,564,374,681,2012.94949118607,2515.516058143,7850,7608,0.591253852885277,0.340489617875397,500
"61","2 11",0.688829787234043,0.088379705400982,0.183279742765273,0.714964370546318,0.185855263157895,376,611,622,421,608,2065.89208383891,2196.03089344919,12424,9148,0.615395422494808,0.310488283281398,716
"62","2 12",0.629370629370629,0.148969889064976,0.343701399688958,0.73728813559322,0.209750566893424,143,631,643,354,882,2178.99371216704,1876.41780405092,228241,103656,0.710490794254682,0.256877483543599,252
"67","2 17",0.805031446540881,0.0485436893203883,0.0484261501210654,0.966804979253112,0.0173913043478261,159,412,413,241,460,570.532848467554,426.515352084269,55959,31600,0.0198755831452616,0.964299765384678,657
"71","2 21",0.85546875,0.055045871559633,0.113636363636364,0.857142857142857,0.0668103448275862,256,436,440,322,464,1360.23054628475,2672.52167763161,5857,1754,0.455050639138465,0.514827983579794,184
"72","2 22",0.760445682451253,0.111627906976744,0.281155015197568,0.769931662870159,0.210526315789474,359,645,658,439,665,1432.40069048472,1996.99776899721,123373,140797,0.645979546617262,0.251444112437387,698
