"coefficient","stdev","N.treatment","N.control"
-0.150718686689478,0.105214446865691,45,45
-0.135099388040342,0.0612403524888533,161,161
-0.121739082250071,0.0420775468246483,364,364
-0.0692446030228065,0.0277197490904765,759,759
-0.102453788715595,0.0238985561444285,1096,1096
-0.0498455366815506,0.0175185388136124,1631,1631
-0.0410595063930207,0.0146024773055729,2580,2580
-0.0557117251727931,0.0111599039624778,4090,4090
-0.026858073648297,0.0097466976229348,5535,5535
-0.0193311894700703,0.00835443074923886,7583,7583
