"coefficient","stdev","N.treatment","N.control"
-0.0971787099936963,0.136089917101598,37,37
-0.125415251356672,0.0725297587041851,124,124
-0.126183589207222,0.0455332351282361,299,299
-0.100912402941615,0.0331124929849062,568,568
-0.0796766818518075,0.0263443868233003,822,822
-0.051897432382403,0.0216781519521418,1303,1303
-0.0258068367835812,0.0167999225888076,2083,2083
-0.033273686664939,0.0120514591161825,3367,3367
-0.014799635447139,0.0105013346888884,4591,4591
-0.00258352740227853,0.00864457799239217,6299,6299
