"mean.diff","low.ci","high.ci","N"
-0.377777777777778,-0.587804686185,-0.167928647148334,90
-0.149068322981366,-0.272134839628571,-0.0266875206198759,322
-0.131868131868132,-0.21139713078767,-0.052961110970572,728
-0.106719367588933,-0.160538009317345,-0.0527568523427338,1518
-0.153284671532847,-0.199391096284921,-0.106320765028948,2192
-0.106069895769467,-0.14336844060528,-0.0684814674266024,3262
-0.0810077519379845,-0.109233883301712,-0.0527201477060398,5160
-0.0655256723716381,-0.0883550424265539,-0.0429540040282138,8180
-0.0538392050587173,-0.0730570532430208,-0.0348010136043144,11070
-0.0454965053408941,-0.061872977424833,-0.0293611911100477,15166
