"mean.diff","low.ci","high.ci","N"
-0.135135135135135,-0.338140875339245,0.0674976320960015,74
-0.137096774193548,-0.270556709040724,-0.00245619418508194,248
-0.127090301003344,-0.217251595576926,-0.0369470666304315,598
-0.128521126760563,-0.193529041656619,-0.0633213104560565,1136
-0.141119221411192,-0.1923026122656,-0.0892852222842784,1644
-0.0928626247122026,-0.133482375637934,-0.0525099497649823,2606
-0.0691310609697552,-0.10067112655384,-0.0384292094999282,4166
-0.0522720522720523,-0.0764025446518514,-0.0282140873647806,6734
-0.0361576998475278,-0.0565887557367048,-0.0159550473563033,9182
-0.0311160501666931,-0.0485398751557719,-0.0137679356078414,12598
