"coefficient","stdev","N.treatment","N.control"
-0.108869299684657,0.156250369978444,37,37
-0.153286576259817,0.0871829750105482,124,124
-0.205600628441134,0.0613063509343818,299,299
-0.191489496733884,0.0385328059238081,568,568
-0.162570194288226,0.0315926218690924,822,822
-0.119820042497068,0.0237352336158204,1303,1303
-0.0904795939963537,0.0190467158602295,2083,2083
-0.0662067590133333,0.0142879001758166,3367,3367
-0.0483219712789148,0.0123675183080941,4591,4591
-0.0467840250099026,0.0104445542233973,6299,6299
