"coefficient","stdev","N.treatment","N.control"
-0.243659886278181,0.16656928316524,45,19
-0.173643528245664,0.0874208764343924,161,63
-0.126413134057335,0.0532364149787379,364,159
-0.142119563776656,0.0408315544961929,759,254
-0.0866465035611927,0.0320907935466999,1096,379
-0.0629738747217281,0.0274718788672945,1631,516
-0.0302542462330888,0.0219549127573468,2580,717
-0.0366320277510408,0.0175411902989093,4090,960
0.00628876868789932,0.0162727564668404,5535,1044
-0.015399920894619,0.0160682533426871,7583,1180
