"mean.diff","low.ci","high.ci","N"
-0.319298245614035,-0.637308433196355,250.03,64
-0.194616977225673,-0.345651670287204,250.03,224
-0.157612827424148,-0.253931888923316,250.03,523
-0.166241324577511,-0.237034475668265,250.03,1013
-0.108851087186796,-0.16669247446298,250.03,1475
-0.0775871083037467,-0.12609508193959,250.03,2147
-0.0447942006422108,-0.0841703197041768,250.03,3297
-0.0446719641401793,-0.0784686516666724,250.03,5050
-0.0134629162383578,-0.0447854763244901,250.03,6579
-0.0257642541188251,-0.0548462118478395,250.03,8763
