"mean.diff","low.ci","high.ci","N"
-0.403030303030303,-0.613176503561941,-0.191699254013816,67
-0.136972866949984,-0.311166121927928,0.0359923832333658,218
-0.20561017929439,-0.297785876879255,-0.112030158401254,516
-0.166241324577511,-0.235990083869133,-0.0963744737232238,1013
-0.159057053478326,-0.215463861807509,-0.103288231146461,1488
-0.105442893004639,-0.154673755383235,-0.0566008933448284,2161
-0.0649692595562684,-0.10415402338771,-0.0255468706554296,3334
-0.0437573299938378,-0.0772788245562402,-0.0106984458037494,5074
-0.0349578185047387,-0.0658971560634709,-0.00452181259514227,6597
-0.0393526984079509,-0.0685286425298903,-0.0100554342143917,8747
