"mean.diff","low.ci","high.ci","N"
-0.388206388206388,-0.736071780895775,-0.0427041404801463,48
-0.167155425219941,-0.354080038321045,0.0195486600219245,157
-0.216711070800975,-0.318509846669969,-0.114907760041669,417
-0.210089849441476,-0.303843198578164,-0.116596269610277,713
-0.166385925510013,-0.232917877025453,-0.100220790389857,1056
-0.110886170119523,-0.165947156017888,-0.0557983864093798,1662
-0.0631283923577239,-0.107915921092333,-0.0177664462501424,2645
-0.0613818613818614,-0.0980568847864632,-0.024938650489072,4137
-0.0190234715728311,-0.0530193938474426,0.0149249412804289,5467
-0.0280375835574222,-0.0600088634885882,0.0032242419798069,7306
