"coefficient","stdev","N.treatment","N.control"
-0.374850164747796,0.269651099259886,37,11
-0.227174806889424,0.106090820256335,124,33
-0.21723604902189,0.055544508764643,299,118
-0.24341551674647,0.0492615256319021,568,145
-0.16338099303302,0.0365470001278892,822,234
-0.117696702475024,0.030469473079431,1303,359
-0.0728136953411035,0.022949703980536,2083,562
-0.0654994595393667,0.0190969268906184,3367,770
-0.0148001250907862,0.0180029122420959,4591,876
-0.032362288554649,0.0173880300157821,6299,1007
